"","name","Salary","Height","FG.","Percentage","sp_percentage"
"79","J. Lin - ATL","13768421",75,0.44,0.066906118404756,0.0128205128205128
"80","J. McGee - LAL","2393887",84,0.624,0.0864805469640241,0.021978021978022
"81","J. Murray - DEN","3499800",76,0.437,0.159413576041638,0.294117647058824
"82","J. Nurkic - POR","11111111",84,0.508,0.111820870528178,0.08
"83","J. Okogie - MIN","2160720",76,0.386,0.0676811325256488,0.0194174757281553
"84","J. Parker - WAS","20000000",80,0.493,0.105217305773743,0.019047619047619
"85","J. Redick - PHI","12250000",76,0.44,0.130693977376949,0.162790697674419
"86","J. Richardson - MIA","9367200",78,0.412,0.16867410648444,0.128205128205128
"87","J. Tatum - BOS","6700800",80,0.45,0.139976194984716,0.174311926605505
"88","J. Valanciunas - MEM","16539326",84,0.559,0.0869691493481348,0.0655737704918033
"89","J. Wall - WAS","19169800",76,0.444,0.0777888628156308,0.0857142857142857
"90","J. Winslow - MIA","3448926",79,0.433,0.122216213558822,0.094017094017094
"91","K. Bazemore - ATL","18089887",77,0.402,0.0854718850631657,0.0897435897435897
"92","K. Caldwell-Pope - LAL","12000000",77,0.43,0.102338705301427,0.0989010989010989
"93","K. Dunn - CHI","4221000",76,0.425,0.0783633519691502,0.0740740740740741
"94","K. Durant - GSW","30000000",81,0.521,0.191883252258513,0.376811594202899
"95","K. Huerter - ATL","2250960",79,0.419,0.0817438692098093,0.0897435897435897
"96","K. Irving - BOS","20099189",75,0.487,0.167649525252252,0.330275229357798
"97","K. Korver - UTA","7560000",79,0.416,0.0688004786120251,0.012987012987013
"98","K. Kuzma - LAL","1689840",81,0.456,0.14718649953877,0.21978021978022
"99","K. Leonard - TOR","23114067",79,0.496,0.166568222090963,0.376344086021505
"100","K. Lowry - TOR","31200000",73,0.411,0.109421145894861,0.129032258064516
"101","K. Middleton - MIL","13000000",80,0.441,0.150292121879012,0.256410256410256
"102","K. Olynyk - MIA","12137527",84,0.463,0.0919161627583042,0.0854700854700855
"103","K. Oubre - PHO","3208630",79,0.445,0.0988921912996487,0.0975609756097561
"104","K. Thompson - GSW","18988725",79,0.467,0.195135510771369,0.159420289855072
"105","K. Towns - MIN","7839435",84,0.518,0.174531428116964,0.213592233009709
"106","K. Walker - CHO","12000000",73,0.434,0.229178311906093,0.454545454545455
"107","L. Aldridge - SAS","22347015",83,0.519,0.182528271628833,0.1125
"108","L. Doncic - DAL","6560640",79,0.427,0.177493575569234,0.358490566037736
"109","L. Galloway - DET","7000000",74,0.388,0.0896117845634494,0.0729166666666667
"110","L. James - LAL","35654150",80,0.51,0.148475229258234,0.362637362637363
"111","L. Kennard - DET","3275280",77,0.438,0.0802363050483351,0.0104166666666667
"112","L. Markkanen - CHI","4536120",84,0.43,0.123213207167304,0.12962962962963
"113","L. Nance - CLE","2272391",81,0.52,0.0796697315312599,0.0740740740740741
"114","L. Williams - LAC","8000000",73,0.425,0.151281915175965,0.470588235294118
"115","M. Bagley - SAC","7305600",83,0.504,0.0881472612990123,0.0458715596330275
"116","M. Beasley - DEN","1773840",77,0.474,0.100430552906232,0.0784313725490196
"117","M. Belinelli - SAS","6153846",77,0.413,0.0950175574418669,0.0625
"118","M. Bridges - CHO","3206640",79,0.464,0.0698032693015583,0.0340909090909091
"119","M. Bridges - PHO","3552960",79,0.43,0.0664685220210754,0.134146341463415
"120","M. Brogdon - MIL","1544951",77,0.505,0.0980900730959679,0.0641025641025641
"121","M. Conley - MEM","30521116",73,0.438,0.180715115528592,0.336065573770492
"122","M. Gasol - TOR","24119025",85,0.448,0.128322504430006,0.010752688172043
"123","M. Harrell - LAC","6000000",80,0.615,0.117522161473539,0.0705882352941176
"124","M. Monk - CHO","3447480",75,0.387,0.0796193540470899,0.0681818181818182
"125","M. Morris - BOS","5375000",81,0.447,0.114629263938107,0.137614678899083
"126","M. Morris - DEN","1349383",75,0.493,0.0960841485680028,0.0392156862745098
"127","M. Smart - BOS","11660716",76,0.422,0.0768252765980469,0.0458715596330275
"128","M. Turner - IND","3410284",83,0.487,0.106501089682964,0.120481927710843
"129","M. Williams - CHO","14087500",81,0.422,0.0889582680063805,0.0681818181818182
"130","N. Batum - CHO","24000000",80,0.45,0.0766881620744659,0.0681818181818182
"131","N. Bjelica - SAC","6500000",82,0.479,0.0739424324054674,0.018348623853211
"132","N. Jokic - DEN","24605181",84,0.511,0.164591110989999,0.215686274509804
"133","N. Vucevic - ORL","12750000",84,0.518,0.180401366353544,0.158536585365854
"134","O. Porter - CHI","26011913",80,0.465,0.0997351752334639,0.0277777777777778
"135","P. George - OKC","30560700",81,0.438,0.217730859343441,0.318181818181818
"136","P. Mills - SAS","11571429",72,0.425,0.0918240384881245,0.0625
"137","P. Millsap - DEN","29730769",80,0.484,0.0906068615963158,0.0980392156862745
"138","P. Siakam - TOR","1544951",81,0.549,0.139397519196692,0.043010752688172
"139","P. Tucker - HOU","7969537",78,0.396,0.0857824708228448,0.0526315789473684
"140","R. Arcidiacono - CHI","1349383",75,0.447,0.065230521441514,0.0277777777777778
"141","R. Bullock - LAL","2500000",79,0.412,0.0803353410385805,0.010989010989011
"142","R. Gay - SAS","10087200",80,0.504,0.103022091962286,0.0875
"143","R. Gobert - UTA","23241573",85,0.669,0.101534122473399,0.103896103896104
"144","R. Jackson - DET","17043478",75,0.421,0.161055700475679,0.229166666666667
"145","R. Lopez - CHI","14357750",84,0.568,0.0825138219943938,0.0277777777777778
"146","R. Rubio - UTA","14975000",76,0.404,0.103642294488839,0.051948051948052
"147","R. Westbrook - OKC","35654150",75,0.428,0.198556540004847,0.372727272727273
"148","S. Adams - OKC","24157304",84,0.595,0.108798104112245,0.0181818181818182
