郵遞區號,CountryName,CountryAreaName,CT,WarinCountryArea,二級警戒_1,二級警戒_3,二級警戒_6,二級警戒_12,二級警戒_24,一級警戒_1,一級警戒_3,一級警戒_6,一級警戒_12,一級警戒_24
511,彰化縣,社頭鄉,彰化縣社頭鄉,"社頭鄉-舊社村 ,廣福村 ,美雅村 ,社頭村 ,平和村,張厝村,湳底村,里仁村,仁雅村,埤斗村,橋頭村,廣興村,清水村,湳雅村",50,110,140,230,300,60,120,160,270,350
512,彰化縣,永靖鄉,彰化縣永靖鄉,"永靖鄉-港西村(永社路與中山路,永久路,福德巷),湳港村,浮圳村,崙子村,新莊村",50,110,140,220,300,60,120,160,250,350
513,彰化縣,埔心鄉,彰化縣埔心鄉,"埔心鄉-太平村,東門村,埤霞村,羅厝村,義民村,油車村,埤腳村",50,110,140,220,300,60,120,160,250,350
514,彰化縣,溪湖鎮,彰化縣溪湖鎮,"溪湖鎮-大實里,湖西里（湖西國小）,湳底里,北勢里,大突里,二溪路,大公路段,河東里,頂庄里",50,110,140,190,260,60,120,160,230,300
515,彰化縣,大村鄉,彰化縣大村鄉,"大村鄉-福興村,大村村(茄苳路),貢旗村,美港村,加錫村,村上村,過溝村,田洋村",40,90,120,230,300,50,100,140,270,350
516,彰化縣,埔鹽鄉,彰化縣埔鹽鄉,"埔鹽鄉-瓦嗂村 ,永平村,石碑村,角樹村,三省村,大有村,角樹村,埔鹽村,南港村",50,110,140,230,300,60,120,160,270,350
520,彰化縣,田中鎮,彰化縣田中鎮,"田中鎮-沙崙里(田中工業區),碧峰里,中州路,斗中路,中洲路,復興里,梅州里,大崙里,平和里",50,110,140,230,300,60,120,160,270,350
521,彰化縣,北斗鎮,彰化縣北斗鎮,"北斗鎮-大新里(中西路田中工業區段),中寮里",50,110,140,270,320,60,120,160,300,350
522,彰化縣,田尾鄉,彰化縣田尾鄉,"田尾鄉-南曾村,北曾村,仁里村,睦宜村,海豐村,陸豐村,柳鳳村",50,110,140,220,300,60,120,160,250,350
523,彰化縣,埤頭鄉,彰化縣埤頭鄉,"埤頭鄉-永豐村,合興村,中和村,崙子村,元埔村,平原村,崙腳村",50,110,140,250,300,60,120,160,280,350
